date, pm25, pm10, o3, no2, so2, co
2025/6/1, 26, 15, 33, 3, , 
2025/6/2, 24, 15, 28, 7, , 
2025/6/3, 24, 19, 29, 8, 1, 
2025/6/4, 32, 21, 23, 6, 1, 
2025/6/5, 29, 15, 27, 6, 1, 
2025/6/6, 27, 17, 29, 4, 1, 
2025/6/7, 26, 26, 36, 2, , 
2025/6/8, 37, 24, 33, 1, , 
2025/6/9, 47, 24, 30, 3, , 
2025/6/10, 48, 34, 22, 7, 1, 
2025/6/11, 49, , , , , 
2025/5/1, 21, 25, 28, 6, , 
2025/5/2, 35, 14, 34, 5, 1, 
2025/5/3, 25, 14, 31, 4, 1, 
2025/5/4, 26, 19, 31, 4, , 
2025/5/5, 26, 14, 32, 4, , 
2025/5/6, 30, 20, 36, 4, , 
2025/5/7, 27, 22, 38, 4, , 
2025/5/8, 43, 15, 34, 4, , 
2025/5/9, 29, 13, 30, 5, , 
2025/5/10, 30, 16, 32, 5, , 
2025/5/11, 26, 15, 20, 8, , 
2025/5/12, 27, 15, 29, 7, , 
2025/5/13, 22, 11, 24, 9, , 
2025/5/14, 27, 13, 23, 9, , 
2025/5/15, 26, 21, 42, 5, , 
2025/5/16, 44, 24, 37, 2, , 
2025/5/17, 37, 26, 31, 5, , 
2025/5/18, 48, 14, 27, 10, , 
2025/5/19, 33, 21, 34, 7, , 
2025/5/20, 37, 23, 26, 9, 1, 
2025/5/21, 45, 14, 36, 5, 1, 
2025/5/22, 26, 13, 37, 5, , 
2025/5/23, 28, 13, 33, 4, , 
2025/5/24, 29, 19, 21, 6, , 
2025/5/25, 34, 14, 30, 4, , 
2025/5/26, 22, 21, 33, 4, , 
2025/5/27, 23, 28, 31, 6, , 
2025/5/28, 37, 29, 30, 8, , 
2025/5/29, 40, 27, 24, 9, 1, 
2025/5/30, 44, 11, 25, 2, , 
2025/5/31, 21, 12, 21, 2, , 
2025/4/1, 42, 24, 34, 3, , 
2025/4/2, 32, 15, 33, 9, , 
2025/4/3, 35, 17, 33, 14, , 
2025/4/4, 34, 12, 29, 10, 2, 
2025/4/5, 31, 12, 16, 6, , 
2025/4/6, 30, 14, 33, 3, , 
2025/4/7, 28, 29, 29, 8, , 
2025/4/8, 64, 27, 35, 5, , 
2025/4/9, 61, 28, 36, 6, , 
2025/4/10, 39, 40, 33, 10, , 
2025/4/11, 55, 33, 32, 7, , 
2025/4/12, 53, 22, 34, 5, , 
2025/4/13, 34, 19, 31, 7, 1, 
2025/4/14, 35, 15, 29, 6, 2, 
2025/4/15, 30, 14, 27, 9, 1, 
2025/4/16, 29, 19, 29, 6, , 
2025/4/17, 24, 24, 26, 10, , 
2025/4/18, 39, 10, 30, 4, 1, 
2025/4/19, 27, 18, 31, 3, , 
2025/4/20, 21, 21, 29, 8, , 
2025/4/21, 32, 19, 35, 7, , 
2025/4/22, 34, 18, 24, 7, , 
2025/4/23, 34, 18, 21, 2, , 
2025/4/24, 33, 21, 13, 8, 1, 
2025/4/25, 39, 19, 29, 5, 1, 
2025/4/26, 27, 15, 31, 2, , 
2025/4/27, 30, 17, 21, 7, , 
2025/4/28, 26, 22, 43, 12, , 
2025/4/29, 43, 27, 43, 12, , 
2025/4/30, 39, 14, 41, 2, , 
2025/1/1, 71, 27, 10, 20, 5, 
2025/1/2, 71, 19, 14, 13, , 
2025/1/3, 40, 15, 20, 13, , 
2025/1/4, 51, 4, 24, 4, , 
2025/1/5, 17, 10, 20, 5, , 
2025/1/6, 29, 49, 18, 13, 8, 
2025/1/7, 67, 9, 22, 9, , 
2025/1/8, 19, 26, 20, 11, , 
2025/1/9, 42, 20, 1, 19, 1, 
2025/1/10, 44, 18, 1, 9, , 
2025/1/11, 34, 17, 2, 5, , 
2025/1/12, 44, 20, 11, 10, 1, 
2025/1/13, 39, 24, 22, 13, 1, 
2025/1/14, 66, 26, 21, 15, 1, 
2025/1/15, 65, 26, 21, 14, 1, 
2025/1/16, 62, 31, 14, 19, 1, 
2025/1/17, 59, 25, 16, 20, 2, 
2025/1/18, 65, 24, 13, 15, 1, 
2025/1/19, 62, 28, 17, 16, 1, 
2025/1/20, 61, 35, 6, 22, 2, 
2025/1/21, 41, 22, 23, 18, 1, 
2025/1/22, 32, 9, 22, 13, , 
2025/1/23, 45, 8, 27, 18, 2, 
2025/1/24, 57, 13, 29, 8, , 
2025/1/25, 31, 12, 29, 7, 1, 
2025/1/26, 31, 13, 33, 7, 1, 
2025/1/27, 27, 12, 32, 7, , 
2025/1/28, 32, 17, 30, 10, , 
2025/1/29, 28, 36, 30, 12, , 
2025/1/30, 47, 30, 18, 17, 1, 
2025/1/31, 61, 22, 21, 14, 1, 
2025/2/1, 46, 15, 29, 7, , 
2025/2/2, 31, 17, 23, 11, , 
2025/2/3, 27, 34, 13, 19, 2, 
2025/2/4, 60, 31, 15, 15, 2, 
2025/2/5, 65, 71, 26, 13, 7, 
2025/2/6, 97, 22, 22, 17, , 
2025/2/7, 60, 17, 22, 11, , 
2025/2/8, 49, 14, 17, 11, , 
2025/2/9, 49, 17, 14, 11, , 
2025/2/10, 47, 26, 21, 15, 1, 
2025/2/11, 52, 18, 24, 13, 1, 
2025/2/12, 35, 29, 12, 17, , 
2025/2/13, 48, 27, 11, 15, 1, 
2025/2/14, 54, 37, 8, 15, 1, 
2025/2/15, 79, 31, 24, 12, , 
2025/2/16, 65, 18, 25, 12, , 
2025/2/17, 46, 43, 10, 19, 1, 
2025/2/18, 71, 37, 25, 20, 1, 
2025/2/19, 70, 39, 16, 20, 1, 
2025/2/20, 73, 18, 27, 11, , 
2025/2/21, 49, 14, 26, 9, 1, 
2025/2/22, 28, 24, 20, 11, , 
2025/2/23, 52, 26, 16, 17, 1, 
2025/2/24, 53, 20, 27, 13, , 
2025/2/25, 35, 19, 26, 11, , 
2025/2/26, 36, 18, 30, 9, , 
2025/2/27, 33, 19, 34, 6, , 
2025/2/28, 30, 16, 33, 2, , 
2025/3/1, 23, 16, 32, 3, , 
2025/3/2, 34, 24, 30, 8, , 
2025/3/3, 41, 30, 29, 8, , 
2025/3/4, 50, 31, 18, 15, , 
2025/3/5, 49, 25, 27, 13, 1, 
2025/3/6, 48, 23, 34, 9, , 
2025/3/7, 41, 7, 35, 5, , 
